#leave the following line; indicates category name
biosyn

#updated on 01-09-2019
PF13183 4Fe-4S dicluster domain
PF18130 ATP-grasp N-terminal domain
PF13535 ATP-grasp domain
PF14518 Iron-containing redox enzyme
PF00708 Acylphosphatase
PF04954 Siderophore-interacting protein
PF08021 Siderophore-interacting FAD-binding domain
PF12697 Alpha/beta hydrolase family
PF13561 Enoyl-(Acyl carrier protein) reductase
PF12710 haloacid dehalogenase-like hydrolase
PF13581 Histidine kinase-like ATPase domain
PF16896 Phosphogluconate dehydrogenase (decarboxylating) C-term

#Removed:
# PF00753	Metallo-beta-lactamase superfamily
# PF00652	Ricin-type beta-trefoil lectin domain
# PF00403	Heavy-metal-associated domain
# PF07993	Male sterility protein
# PF00013	KH domain
# PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain
# PF00027	Cyclic nucleotide-binding domain

# updates on 23_01_2019
PF06863	Protein of unknown function (DUF1254)
PF06865	Protein of unknown function (DUF1255)
PF06872	EspG protein
PF06874	Firmicute fructose-1,6-bisphosphatase
PF06888	Putative Phosphatase
PF06902	Divergent 4Fe-4S mono-cluster
PF06912	Protein of unknown function (DUF1275)
PF06917	Periplasmic pectate lyase
PF06925	Monogalactosyldiacylglycerol (MGDG) synthase
PF06930	Protein of unknown function (DUF1282)
PF06939	Protein of unknown function (DUF1286)
PF06941	5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)
PF06951	Group XII secretory phospholipase A2 precursor (PLA2G12)
PF06955	Xyloglucan endo-transglycosylase (XET) C-terminus
PF06964	Alpha-L-arabinofuranosidase C-terminal domain
PF06966	Protein of unknown function (DUF1295)
PF06968	Biotin and Thiamin Synthesis associated domain
PF06969	HemN C-terminal domain
PF06973	Domain of unknown function (DUF1297)
PF06974	Protein of unknown function (DUF1298)
PF06983	3-demethylubiquinone-9 3-methyltransferase
PF06988	NifT/FixU protein
PF06999	Sucrase/ferredoxin-like
PF07006	Protein of unknown function (DUF1310)
PF07021	Methionine biosynthesis protein MetW
PF07032	Protein of unknown function (DUF1322)
PF07040	Protein of unknown function (DUF1326)
PF07041	Protein of unknown function (DUF1327)
PF07045	Domain of unknown function (DUF1330)
PF07055	Enoyl reductase FAD binding domain
PF07082	Protein of unknown function (DUF1350)
PF07091	Ribosomal RNA methyltransferase (FmrO)
PF07094	Protein of unknown function (DUF1357)
PF07098	Protein of unknown function (DUF1360)
PF07102	Protein of unknown function (DUF1364)
PF07105	Protein of unknown function (DUF1367)
PF07109	Magnesium-protoporphyrin IX methyltransferase C-terminus
#PF07110	EthD domain
#PF07128	Protein of unknown function (DUF1380)
PF07137	VDE lipocalin domain
PF07143	CrtC N-terminal lipocalin domain
PF07155	ECF-type riboflavin transporter, S component
PF07156	Prenylcysteine lyase
PF07158	Dicarboxylate carrier protein MatC N-terminus
PF07161	LppX_LprAFG lipoprotein
PF07166	Protein of unknown function (DUF1398)
PF07167	Poly-beta-hydroxybutyrate polymerase (PhaC) N-terminus
PF07176	Alpha/beta hydrolase of unknown function (DUF1400)
PF07178	TraL protein
PF07179	SseB protein N-terminal domain
PF07191	zinc-ribbons
PF07194	P2 response regulator binding domain
PF07212	Hyaluronidase protein (HylP)
PF07219	HemY protein N-terminus
PF07221	N-acylglucosamine 2-epimerase (GlcNAc 2-epimerase)
PF07224	Chlorophyllase
#PF07225	NADH-ubiquinone oxidoreductase B15 subunit (NDUFB4)
#PF07226	Protein of unknown function (DUF1422)
#PF07228	Stage II sporulation protein E (SpoIIE)
#PF07242	Protein of unknown function (DUF1430)
PF07247	Alcohol acetyltransferase
PF07252	Protein of unknown function (DUF1433)
PF07284	2-vinyl bacteriochlorophyllide hydratase (BCHF)
PF07291	Methylamine utilisation protein MauE
PF07301	Protein of unknown function (DUF1453)
PF07302	AroM protein
PF07307	Heptaprenyl diphosphate synthase (HEPPP synthase) subunit 1
PF07316	Protein of unknown function (DUF1463)
PF07332	Putative Actinobacterial Holin-X, holin superfamily III
PF07335	Fungal chitosanase of glycosyl hydrolase group 75
PF07336	Putative stress-induced transcription regulator
PF07338	Protein of unknown function (DUF1471)
PF07341	Protein of unknown function (DUF1473)
PF07347	NADH:ubiquinone oxidoreductase subunit B14.5a (Complex I-B14.5a)
PF07355	Glycine/sarcosine/betaine reductase selenoprotein B (GRDB)
PF07366	SnoaL-like polyketide cyclase
PF07371	Protein of unknown function (DUF1490)
PF07374	Protein of unknown function (DUF1492)
PF07394	Protein of unknown function (DUF1501)
PF07395	Mig-14
PF07398	MDMPI C-terminal domain
PF07405	Protein of unknown function (DUF1506)
PF07423	Protein of unknown function (DUF1510)
PF07429	4-alpha-L-fucosyltransferase glycosyl transferase group 56
PF07456	Heptaprenyl diphosphate synthase component I
PF07463	NUMOD4 motif
PF07470	Glycosyl Hydrolase Family 88
PF07475	HPr Serine kinase C-terminal domain
PF07476	Methylaspartate ammonia-lyase C-terminus
PF07477	Glycosyl hydrolase family 67 C-terminus
PF07478	D-ala D-ala ligase C-terminus
PF07479	NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus
PF07485	Domain of Unknown Function (DUF1259)
PF07486	Cell Wall Hydrolase
PF07488	Glycosyl hydrolase family 67 middle domain
PF07492	Neutral trehalase Ca2+ binding domain
PF07507	WavE lipopolysaccharide synthesis
PF07519	Tannase and feruloyl esterase
PF07521	Zn-dependent metallo-hydrolase RNA specificity domain
PF07533	BRK domain
PF07536	HWE histidine kinase
PF07538	Clostridial hydrophobic W
PF07560	Domain of Unknown Function (DUF1539)
PF07578	Lipid A Biosynthesis N-terminal domain
PF07580	M26 IgA1-specific Metallo-endopeptidase C-terminal region
PF07583	Protein of unknown function (DUF1549)
PF07586	Protein of unknown function (DUF1552)
PF07587	Protein of unknown function (DUF1553)
PF07589	PEP-CTERM motif
PF07593	ASPIC and UnbV
PF07596	Protein of unknown function (DUF1559)
PF07602	Protein of unknown function (DUF1565)
PF07611	Protein of unknown function (DUF1574)
PF07624	Protein of unknown function (DUF1585)
PF07626	Protein of unknown function (DUF1587)
PF07627	Protein of unknown function (DUF1588)
PF07631	Protein of unknown function (DUF1592)
PF07635	Planctomycete cytochrome C
PF07636	PSRT
PF07637	Protein of unknown function (DUF1595)
PF07660	Secretin and TonB N terminus short domain
PF07663	Sorbitol phosphotransferase enzyme II C-terminus
PF07670	Nucleoside recognition
PF07678	A-macroglobulin complement component
PF07681	DoxX
PF07683	Cobalamin synthesis protein cobW C-terminal domain
PF07685	CobB/CobQ-like glutamine amidotransferase domain
PF07693	KAP family P-loop domain
PF07694	5TMR of 5TMR-LYT
PF07701	Heme NO binding associated
PF07702	UTRA domain
PF07705	CARDB
PF07706	Aminotransferase ubiquitination site
PF07711	Rab geranylgeranyl transferase alpha-subunit, insert domain
PF07717	Oligonucleotide/oligosaccharide-binding (OB)-fold
PF07722	Peptidase C26
PF07724	AAA domain (Cdc48 subfamily)
PF07726	ATPase family associated with various cellular activities (AAA)
PF07728	AAA domain (dynein-related subfamily)
PF07730	Histidine kinase
PF07731	Multicopper oxidase
PF07732	Multicopper oxidase
PF07736	Chorismate mutase type I
PF07739	TipAS antibiotic-recognition domain
PF07745	Glycosyl hydrolase family 53
PF07748	Glycosyl hydrolases family 38 C-terminal domain
PF07756	Protein of unknown function (DUF1612)
PF07757	Predicted AdoMet-dependent methyltransferase
PF07761	Protein of unknown function (DUF1617)
PF07780	Spb1 C-terminal domain
PF07786	Protein of unknown function (DUF1624)
PF07789	Protein of unknown function (DUF1627)
PF07790	Archaeal Type IV pilin, N-terminal
PF07799	Protein of unknown function (DUF1643)
PF07812	TfuA-like protein
PF07819	PGAP1-like protein
PF07821	Alpha-amylase C-terminal beta-sheet domain
PF07823	Cyclic phosphodiesterase-like protein
PF07826	IMP cyclohydrolase-like protein
PF07827	KNTase C-terminal domain
PF07830	Protein serine/threonine phosphatase 2C, C-terminal domain
PF07831	Pyrimidine nucleoside phosphorylase C-terminal domain
PF07833	Copper amine oxidase N-terminal domain
#PF07836	DmpG-like communication domain
PF07837	Formiminotransferase domain, N-terminal subdomain
PF07847	PCO_ADO
PF07848	PaaX-like protein
PF07849	Protein of unknown function (DUF1641)
PF07853	Protein of unknown function (DUF1648)
PF07858	Limonene-1,2-epoxide hydrolase catalytic domain
PF07859	alpha/beta hydrolase fold
PF07862	Nif11 domain
PF07865	Protein of unknown function (DUF1652)
PF07869	Protein of unknown function (DUF1656)
PF07881	L-fucose isomerase, first N-terminal domain
PF07882	L-fucose isomerase, second N-terminal domain
PF07883	Cupin domain
PF07884	Vitamin K epoxide reductase family
PF07895	Protein of unknown function (DUF1673)
PF07901	Protein of unknown function (DUF1672)
PF07902	gp58-like protein
PF07922	Glycosyltransferase family 52
PF07930	D-aminopeptidase, domain B
PF07931	Chloramphenicol phosphotransferase-like protein
PF07935	ORF D-335-like protein
PF07940	Heparinase II/III-like protein
PF07943	Penicillin-binding protein 5, C-terminal domain
PF07944	Beta-L-arabinofuranosidase, GH127
PF07951	Clostridium neurotoxin, C-terminal receptor binding
PF07952	Clostridium neurotoxin, Translocation domain
PF07953	Clostridium neurotoxin, N-terminal receptor binding
PF07955	Protein of unknown function (DUF1687)
PF07959	L-fucokinase
PF07963	Prokaryotic N-terminal methylation motif
PF07966	A1 Propeptide
PF07968	Leukocidin/Hemolysin toxin family
PF07969	Amidohydrolase family
PF07977	FabA-like domain
PF07978	NIPSNAP
PF07991	Acetohydroxy acid isomeroreductase, NADPH-binding domain
PF07992	Pyridine nucleotide-disulphide oxidoreductase

PF07994	Myo-inositol-1-phosphate synthase
PF07995	Glucose / Sorbosone dehydrogenase
PF08000	Bacterial PH domain
PF08002	Protein of unknown function (DUF1697)
PF08003	Protein of unknown function (DUF1698)
PF08006	Protein of unknown function (DUF1700)
PF08007	Cupin superfamily protein
PF08012	Protein of unknown function (DUF1702)
PF08020	Protein of unknown function (DUF1706)
PF08021	Siderophore-interacting FAD-binding domain
PF08022	FAD-binding domain
PF08028	Acyl-CoA dehydrogenase, C-terminal domain
PF08029	HisG, C-terminal domain
PF08030	Ferric reductase NAD binding domain
PF08031	Berberine and berberine like
PF08032	RNA 2'-O ribose methyltransferase substrate binding
PF08040	MNLL subunit
PF08044	Domain of unknown function (DUF1707)
PF08061	P68HR (NUC004) repeat
PF08063	PADR1 (NUC008) domain
PF08064	UME (NUC010) domain
PF08072	BDHCT (NUC031) domain
PF08073	CHDNT (NUC034) domain
PF08074	CHDCT2 (NUC038) domain
PF08123	Histone methylation protein DOT1
PF08124	Polysaccharide lyase family 8, N terminal alpha-helical domain
PF08125	Mannitol dehydrogenase C-terminal domain
PF08126	Propeptide_C25
PF08127	Peptidase family C1 propeptide
PF08133	Anticodon nuclease activator family
PF08147	DBP10CT (NUC160) domain
PF08163	NUC194 domain
PF08210	APOBEC-like N-terminal domain
PF08211	Cytidine and deoxycytidylate deaminase zinc-binding region
PF08214	Histone acetylation protein
PF08218	Citrate lyase ligase C-terminal domain
PF08223	PaaX-like protein C-terminal domain
PF08235	LNS2 (Lipin/Ned1/Smp2)
PF08236	SRI (Set2 Rpb1 interacting) domain
PF08240	Alcohol dehydrogenase GroES-like domain
PF08241	Methyltransferase domain
PF08242	Methyltransferase domain
PF08245	Mur ligase middle domain
PF08267	Cobalamin-independent synthase, N-terminal domain
PF08278	DNA primase DnaG DnaB-binding
PF08282	haloacid dehalogenase-like hydrolase
PF08308	PEGA domain
PF08310	LGFP repeat
PF08323	Starch synthase catalytic domain
PF08326	Acetyl-CoA carboxylase, central region
PF08328	Adenylosuccinate lyase C-terminal
PF08329	Chitinase A, N-terminal domain
PF08332	Calcium/calmodulin dependent protein kinase II association domain
PF08335	GlnD PII-uridylyltransferase
PF08336	Prolyl 4-Hydroxylase alpha-subunit, N-terminal region
PF08338	Domain of unknown function (DUF1731)
PF08343	Ribonucleotide reductase N-terminal
PF08348	YheO-like PAS domain
PF08354	Domain of unknown function (DUF1729)
PF08359	YsiA-like protein, C-terminal region
PF08369	Proto-chlorophyllide reductase 57 kD subunit
PF08392	FAE1/Type III polyketide synthase-like protein
PF08402	TOBE domain
PF08405	Viral polyprotein N-terminal
PF08407	Chitin synthase N-terminal
PF08414	Respiratory burst NADPH oxidase
PF08417	Pheophorbide a oxygenase
PF08421	Putative zinc binding domain
PF08429	PLU-1-like protein
PF08433	Chromatin associated protein KTI12
PF08436	1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal
PF08437	Glycosyl transferase family 8 C-terminal
PF08440	Potyviridae polyprotein
PF08444	Aralkyl acyl-CoA:amino acid N-acyltransferase, C-terminal region
PF08445	FR47-like protein
PF08447	PAS fold
PF08450	SMP-30/Gluconolaconase/LRE-like region
PF08465	Thymidine kinase from Herpesvirus C-terminal
PF08468	Methyltransferase small domain N-terminal
PF08469	Nucleoside triphosphatase I C-terminal
PF08470	Nontoxic nonhaemagglutinin C-terminal
PF08471	Class II vitamin B12-dependent ribonucleotide reductase
PF08472	Sucrose-6-phosphate phosphohydrolase C-terminal
PF08476	Viral D10 N-terminal
PF08480	Disaggregatase related
PF08481	GBS Bsp-like repeat
PF08483	IstB-like ATP binding N-terminal
PF08484	C-methyltransferase C-terminal domain
PF08485	Polysaccharide biosynthesis protein C-terminal
PF08488	Wall-associated kinase
PF08491	Squalene epoxidase
PF08494	DEAD/H associated
PF08496	Peptidase family S49 N-terminal
PF08498	Sterol methyltransferase C-terminal
PF08499	3'5'-cyclic nucleotide phosphodiesterase N-terminal
PF08501	Shikimate dehydrogenase substrate binding domain
PF08502	LeuA allosteric (dimerisation) domain
PF08503	Tetrahydrodipicolinate succinyltransferase N-terminal
PF08509	Adenylate cyclase G-alpha binding domain
PF08515	Transforming growth factor beta type I GS-motif
PF08516	ADAM cysteine-rich
PF08526	Protein-arginine deiminase (PAD) N-terminal domain
PF08527	Protein-arginine deiminase (PAD) middle domain
PF08531	Alpha-L-rhamnosidase N-terminal domain
PF08532	Beta-galactosidase trimerisation domain
PF08533	Beta-galactosidase C-terminal domain
PF08534	Redoxin
PF08535	KorB domain
PF08540	Hydroxymethylglutaryl-coenzyme A synthase C terminal
PF08541	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
PF08543	Phosphomethylpyrimidine kinase
PF08544	GHMP kinases C terminal
PF08545	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
PF08546	Ketopantoate reductase PanE/ApbA C terminal
PF08587	Ubiquitin associated domain (UBA)
PF08592	Domain of unknown function (DUF1772)
PF08608	Wyosine base formation
PF08645	Polynucleotide kinase 3 phosphatase
PF08658	Rad54 N terminal
PF08659	KR domain
PF08660	Oligosaccharide biosynthesis protein Alg14 like
PF08666	SAF domain
PF08667	BetR domain
PF08669	Glycine cleavage T-protein C-terminal barrel domain
PF08681	Protein of unknown function (DUF1778)
PF08685	GON domain
PF08686	PLAC (protease and lacunin) domain
PF08703	PLC-beta C terminal
PF08704	tRNA methyltransferase complex GCD14 subunit
PF08707	Primase C terminal 2 (PriCT-2)
PF08708	Primase C terminal 1 (PriCT-1)
PF08714	Formaldehyde-activating enzyme (Fae)
PF08715	Papain like viral protease
PF08716	nsp7 replicase
PF08717	nsp8 replicase
PF08727	Poliovirus 3A protein like
PF08735	Putative pyruvate format-lyase activating enzyme (DUF1786)
PF08759	Glycosyltransferase GT-D fold
PF08761	dUTPase
PF08774	VRR-NUC domain
PF08785	Ku C terminal domain like
PF08786	DcrB
PF08797	HIRAN domain
PF08802	Cytochrome B6-F complex Fe-S subunit
PF08803	Putative mono-oxygenase ydhR
PF08808	RES domain
PF08820	Domain of unknown function (DUF1803)
PF08825	E2 binding domain
PF08826	DMPK coiled coil domain like
PF08840	BAAT / Acyl-CoA thioester hydrolase C terminal
PF08841	Diol dehydratase reactivase ATPase-like domain
PF08845	Toxin SymE, type I toxin-antitoxin system
PF08861	Domain of unknown function DUF1828
PF08862	Domain of unknown function DUF1829
PF08867	FRG domain
PF08874	Domain of unknown function (DUF1835)
PF08876	Domain of unknown function (DUF1836)
PF08877	MepB protein
PF08886	Glutamate-cysteine ligase
PF08889	WbqC-like protein family
PF08891	YfcL protein
PF08892	YqcI/YcgG family
#PF08893	Domain of unknown function (DUF1839)
#PF08896	Domain of unknown function (DUF1842)
#PF08898	Domain of unknown function (DUF1843)
#PF08918	PhoQ Sensor
#PF08919	F-actin binding
#PF08922	Domain of unknown function (DUF1905)
#PF08924	Domain of unknown function (DUF1906)
#PF08926	Domain of unknown function (DUF1908)
#PF08928	Domain of unknown function (DUF1910)
#PF08929	Domain of unknown function (DUF1911)
#PF08933	Domain of unknown function (DUF1864)
#PF08940	Domain of unknown function (DUF1918)
PF08941	USP8 interacting
PF08943	CsiD
#PF08962	Domain of unknown function (DUF1876)
#PF08980	Domain of unknown function (DUF1883)
PF08990	Erythronolide synthase docking
PF08992	Quinohemoprotein amine dehydrogenase, gamma subunit
PF08997	Ubiquinol-cytochrome C reductase complex, 6.4kD protein
PF09000	Cytotoxic
#PF09004	Domain of unknown function (DUF1891)
PF09008	Head binding
PF09009	Exotoxin A catalytic
PF09013	YopH, N-terminal
PF09028	Mac 1
PF09029	5-aminolevulinate synthase presequence
PF09030	Creb binding
PF09036	Bcr-Abl oncoprotein oligomerisation domain
PF09037	Stf0 sulphotransferase
PF09040	Gastric H+/K+-ATPase, N terminal domain
PF09052	Salmonella invasion protein A
PF09055	Nickel-containing superoxide dismutase
PF09061	Stirrup
PF09084	NMT1/THI5 like
PF09086	Domain of unknown function (DUF1924)
PF09111	SLIDE
PF09118	Domain of unknown function (DUF1929)
PF09130	Domain of unknown function (DUF1932)
PF09138	Urm1 (Ubiquitin related modifier)
PF09140	ATPase MipZ
PF09154	Domain of unknown function (DUF1939)
PF09163	Formate dehydrogenase N, transmembrane
PF09165	Ubiquinol-cytochrome c reductase 8 kDa, N-terminal
PF09166	Biliverdin reductase, catalytic
PF09171	N-glycosylase/DNA lyase
PF09179	TilS substrate binding domain
PF09190	DALR domain
PF09199	Staphylococcal superantigen-like OB-fold domain
PF09202	Rio2, N-terminal
PF09204	Bacterial self-protective colicin-like immunity
PF09206	Alpha-L-arabinofuranosidase B, catalytic
PF09209	Domain of unknown function (DUF1956)
PF09221	Bacteriocin class IId cyclical uberolysin-like
PF09223	ZinT (YodA) periplasmic lipocalin-like zinc-recruitment
PF09230	DNA fragmentation factor 40 kDa
PF09242	Flavocytochrome c sulphide dehydrogenase, flavin-binding
PF09243	Mitochondrial small ribosomal subunit Rsm22
PF09249	tRNA nucleotidyltransferase, second domain
PF09260	Domain of unknown function (DUF1966)
PF09261	Alpha mannosidase middle domain
PF09265	Cytokinin dehydrogenase 1, FAD and cytokinin binding
PF09266	Viral DNA topoisomerase I, N-terminal
PF09272	Hepsin, SRCR
PF09284	Rhamnogalacturonan lyase B, N-terminal
PF09286	Pro-kumamolisin, activation domain
PF09290	Prokaryotic acetaldehyde dehydrogenase, dimerisation
PF09296	NADH pyrophosphatase-like rudimentary NUDIX domain
PF09297	NADH pyrophosphatase zinc ribbon domain
PF09298	Fumarylacetoacetase N-terminal
PF09308	LuxQ, periplasmic
PF09314	Domain of unknown function (DUF1972)
PF09317	Domain of unknown function (DUF1974)
PF09321	Domain of unknown function (DUF1978)
PF09323	Domain of unknown function (DUF1980)
PF09326	NADH-ubiquinone oxidoreductase subunit G, C-terminal
PF09328	Domain of unknown function (DUF1984)
PF09335	SNARE associated Golgi protein
PF09336	Vps4 C terminal oligomerisation domain
PF09338	Glycine/sarcosine/betaine reductase component B subunits
PF09348	Domain of unknown function (DUF1990)
PF09350	Domain of unknown function (DUF1992)
